日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20201030,2914,日本たばこ産業,市場第一部（内国株）,3050,食料品,1,食品,2,TOPIX Large70
20201030,3382,セブン＆アイ・ホールディングス,市場第一部（内国株）,6100,小売業,14,小売,1,TOPIX Core30
20201030,4063,信越化学工業,市場第一部（内国株）,3200,化学,4,素材・化学,1,TOPIX Core30
20201030,4502,武田薬品工業,市場第一部（内国株）,3250,医薬品,5,医薬品,1,TOPIX Core30
20201030,4503,アステラス製薬,市場第一部（内国株）,3250,医薬品,5,医薬品,1,TOPIX Core30
20201030,6501,日立製作所,市場第一部（内国株）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20201030,6752,パナソニック,市場第一部（内国株）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20201030,6758,ソニー,市場第一部（内国株）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20201030,6861,キーエンス,市場第一部（内国株）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20201030,6902,デンソー,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機,2,TOPIX Large70
20201030,6954,ファナック,市場第一部（内国株）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20201030,6981,村田製作所,市場第一部（内国株）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20201030,7201,日産自動車,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機,2,TOPIX Large70
20201030,7203,トヨタ自動車,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機,1,TOPIX Core30
20201030,7267,本田技研工業,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機,1,TOPIX Core30
20201030,7751,キヤノン,市場第一部（内国株）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20201030,8031,三井物産,市場第一部（内国株）,6050,卸売業,13,商社・卸売,1,TOPIX Core30
20201030,8058,三菱商事,市場第一部（内国株）,6050,卸売業,13,商社・卸売,1,TOPIX Core30
20201030,8306,三菱ＵＦＪフィナンシャル・グループ,市場第一部（内国株）,7050,銀行業,15,銀行,1,TOPIX Core30
20201030,8316,三井住友フィナンシャルグループ,市場第一部（内国株）,7050,銀行業,15,銀行,1,TOPIX Core30
20201030,8411,みずほフィナンシャルグループ,市場第一部（内国株）,7050,銀行業,15,銀行,1,TOPIX Core30
20201030,8766,東京海上ホールディングス,市場第一部（内国株）,7150,保険業,16,金融（除く銀行）,1,TOPIX Core30
20201030,8801,三井不動産,市場第一部（内国株）,8050,不動産業,17,不動産,2,TOPIX Large70
20201030,8802,三菱地所,市場第一部（内国株）,8050,不動産業,17,不動産,2,TOPIX Large70
20201030,9021,西日本旅客鉄道,市場第一部（内国株）,5050,陸運業,12,運輸・物流,2,TOPIX Large70
20201030,9022,東海旅客鉄道,市場第一部（内国株）,5050,陸運業,12,運輸・物流,1,TOPIX Core30
20201030,9432,日本電信電話,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,1,TOPIX Core30
20201030,9433,ＫＤＤＩ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,1,TOPIX Core30
20201030,9437,ＮＴＴドコモ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,1,TOPIX Core30
20201030,9984,ソフトバンクグループ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,1,TOPIX Core30
