20111031,20121031,20131031,20141031,20151031,20161031,20171031,20181031,20191031,20201031
3382,3382,3382,3382,3382,3382,3382,3382,3382,3382
4063,4063,4063,4063,4063,4063,4063,4063,4063,4063
7974,7974,4452,6902,6902,6902,6902,4452,4452,4452
4502,4502,4502,4502,4502,4502,4502,4502,4502,4502
4503,4503,4503,4503,4503,4503,4503,4503,4503,4503
6752,6752,6752,6752,6752,6752,6752,6752,4568,4568
7201,7201,7201,7201,7201,7201,7201,6098,6098,6098
2914,2914,2914,2914,2914,2914,2914,2914,2914,6367
9503,9503,6501,6501,6501,6501,6501,6501,6501,6501
7751,7751,7751,7751,7751,7751,7751,7751,7751,6594
6758,6758,6758,6758,6758,6758,6758,6758,6758,6758
8604,8604,8604,8604,8604,6861,6861,6861,6861,6861
9501,6954,6954,6954,6954,6954,6954,6954,6954,6954
5401,5401,5401,5401,6981,6981,6981,6981,6981,6981
7203,7203,7203,7203,7203,7203,7203,7203,7203,7203
7267,7267,7267,7267,7267,7267,7267,7267,7267,7267
8802,8802,8802,8802,8802,8802,8802,8802,8802,7741
6502,6502,6502,8801,8801,8801,7974,7974,7974,7974
9021,9021,9021,9021,9021,9021,9021,9021,9021,8001
8031,8031,8031,8031,8031,8031,8031,8031,8031,8031
8058,8058,8058,8058,8058,8058,8058,8058,8058,8058
8306,8306,8306,8306,8306,8306,8306,8306,8306,8306
8316,8316,8316,8316,8316,8316,8316,8316,8316,8316
8411,8411,8411,8411,8411,8411,8411,8411,8411,8411
8766,8766,8766,8766,8766,8766,8766,8766,8766,8766
6301,6301,6301,6301,9022,9022,9022,9022,9022,9022
9432,9432,9432,9432,9432,9432,9432,9432,9432,9432
9433,9433,9433,9433,9433,9433,9433,9433,9433,9433
9437,9437,9437,9437,9437,9437,9437,9437,9437,9437
9984,9984,9984,9984,9984,9984,9984,9984,9984,9984
